"","initial_user","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","track.id","cluster","label"
"3400","anneta9",0.32,0.0379,0.037,0.994,0.326,0.133,0.14,"6U8OfEF7zr4yEdPrYpoEQ3",6,"no"
"3401","mariamcgyver",0.671,0.373,0.0323,0.257,8.01e-05,0.0481,0.732,"2374M0fQpWi3dLnB54qaLX",4,"no"
"3402","lhg1996",0.494,0.182,0.0443,0.79,0.00036,0.129,0.21,"5vb7At47uO0yPGfmYnAHuw",6,"no"
"3403","1122031659",0.558,0.969,0.0668,0.00372,0.0984,0.126,0.509,"7dun0h25rFIwPJEKp3kheP",1,"no"
"3404","mjordanp",0.547,0.829,0.065,0.00927,0.00954,0.301,0.544,"3VeQzfbpR2SPoYdES3DUt2",1,"no"
"3405","lhg1996",0.358,0.921,0.0695,0.171,7.64e-06,0.358,0.476,"41pOIT2t1rvr2Trg1HQChZ",1,"no"
"3406","lhg1996",0.517,0.529,0.0323,0.115,0.00396,0.174,0.362,"7fdPjjnUY9gmYqScFYSSPp",4,"no"
"3407","1122031659",0.513,0.393,0.0305,0.563,0.894,0.907,0.513,"230tKtsKM3eigmK2CtssAO",2,"no"
"3408","1122031659",0.461,0.0972,0.0402,0.97,0.114,0.112,0.774,"59v1okflZrEkeb9JrxfJvX",6,"no"
"3409","112965605",0.0752,0.0604,0.0485,0.957,0.902,0.0889,0.034,"06O078Zw6xX8iMh4lpWn01",2,"no"
"3410","lhg1996",0.518,0.823,0.0637,0.151,0,0.0523,0.522,"3WISqO5EtteMYlfpmJhqHg",1,"no"
"3411","arterocristina",0.766,0.563,0.0339,0.0263,0.683,0.115,0.964,"3E7ZwUMJFqpsDOJzEkBrQ7",5,"no"
"3412","112965605",0.935,0.454,0.375,0.0194,0,0.0824,0.357,"4Oun2ylbjFKMPTiaSbbCih",4,"no"
"3413","anneta9",0.524,0.0924,0.0328,0.924,0.728,0.0977,0.155,"05PxNZJfr9OTpCo2JjH0xe",2,"no"
"3414","lauramuntaner",0.474,0.905,0.0842,0.122,0.00154,0.166,0.322,"5wq8wceQvaFlOZovDtfr0j",1,"no"
"3415","lauramuntaner",0.398,0.923,0.113,0.0516,0.0158,0.294,0.409,"25kXh2zjxfEb6wnjew2r4M",1,"no"
"3416","112965605",0.85,0.749,0.273,0.264,4.35e-06,0.0767,0.597,"0X77juXIZbpwcb9CcCtt6H",4,"no"
"3417","1122031659",0.761,0.626,0.215,0.61,0,0.0485,0.712,"36wIfrcWJBaMyV32bmSU9S",7,"no"
"3418","lauramuntaner",0.499,0.954,0.128,0.00193,7.22e-06,0.295,0.555,"7tGMh68y5VhWoJynsBwZQn",1,"no"
"3419","lauramuntaner",0.513,0.678,0.0368,0.0405,0.123,0.126,0.432,"06TOxWnCygTd0RF70Z0Eca",1,"no"
"3420","1122031659",0.775,0.785,0.0434,0.385,0.824,0.645,0.81,"6ZOeDXutLpSGqA1sSL6LrL",5,"no"
